crop,season,pH,soil_type,elevation,temperature
onion ,6,6.5,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6,2,1300,20
onion ,6,6.1,2,1300,20
onion ,6,6.1,2,1300,20
onion ,6,6.1,2,1300,20
onion ,6,6.1,2,1300,20
onion ,6,6.1,2,1300,20
onion ,6,6.2,2,1300,20
onion ,6,6.2,2,1300,20
onion ,6,6.2,2,1300,20
onion ,6,6.2,2,1300,20
onion ,6,6.2,2,1300,20
onion ,6,6.2,2,1300,20
onion ,6,6.2,2,1300,20
onion ,6,6.2,2,1300,20
onion ,6,6.2,2,1300,20
onion ,6,6.3,2,1300,20
onion ,6,6.3,2,1300,20
onion ,6,6.3,2,1300,20
onion ,6,6.3,2,1300,20
onion ,6,6.3,2,1300,20
onion ,6,6.3,2,1300,20
onion ,6,6.3,2,1300,20
onion ,6,6.3,2,1300,20
onion ,6,6.3,2,1300,20
onion ,6,6.4,2,1300,20
onion ,6,6.4,2,1300,20
onion ,6,6.4,2,1300,20
onion ,6,6.4,2,1300,20
onion ,6,6.4,2,1300,20
onion ,6,6.4,2,1300,20
onion ,6,6.4,2,1300,20
onion ,6,6.4,2,1300,20
onion ,6,6.4,2,1300,20
onion ,6,6.4,2,1300,20
onion ,6,6.4,2,1200,20
onion ,6,7.5,2,1200,21
onion ,6,6.5,2,1200,21
onion ,6,6.5,2,1200,21
onion ,6,6.5,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
onion ,6,6.6,2,1200,21
